1,Kathey,Kilback,1973-08-31 14:39:12,USA,janine.schoen@hotmail.com,2017-01-23 23:11:11,2018-02-23 05:22:10,"DOCTOR"
2,Brittani,Schuster,2004-04-01 18:46:29,Nepal,kathryn.macejkovic@gmail.com,2015-04-17 23:59:05,2018-09-12 09:24:08,"PATIENT"
3,Marlen,Vandervort,1985-12-15 23:59:27,Nepal,arlie.robel@yahoo.com,2017-03-31 21:13:18,2018-02-27 05:01:29,"DOCTOR"
4,Art,Koch,1978-08-10 20:51:12,Nigeria,adrianne.lynch@hotmail.com,2019-04-27 07:43:08,2020-01-25 07:40:17,"PATIENT"
5,Celia,Bode,1972-03-14 20:00:53,Ethiopia,eun.durgan@yahoo.com,2020-03-23 07:09:29,2020-04-12 02:39:37,"PATIENT"
6,Shaunte,Kemmer,1993-12-08 10:10:27,USA,gillian.schaefer@gmail.com,2019-05-24 21:20:05,2019-09-25 19:56:53,"PATIENT"
7,Kacie,Homenick,2006-01-29 01:55:42,Nigeria,sebrina.marquardt@yahoo.com,2019-01-04 11:04:03,2019-02-14 10:00:09,"PATIENT"
8,Evelyne,Kovacek,1972-05-27 05:05:27,Ethiopia,tomeka.mante@gmail.com,2018-01-10 02:31:25,2019-11-30 02:29:38,"DOCTOR"
9,Fiona,Cronin,1990-09-13 00:58:56,USA,austin.goodwin@hotmail.com,2018-02-23 00:00:40,2019-12-05 19:51:53,"PATIENT"
10,Dedra,Ortiz,1996-10-03 08:14:45,Nigeria,alfred.hackett@gmail.com,2017-11-22 06:18:36,2019-04-26 04:48:52,"PATIENT"
11,Jay,Flatley,1982-06-30 08:30:11,USA,cori.gorczany@yahoo.com,2016-08-29 20:51:28,2019-08-10 12:12:12,"PATIENT"
12,Isaiah,McLaughlin,2002-02-01 23:39:26,USA,shelly.gottlieb@hotmail.com,2017-12-28 10:27:41,2020-03-31 20:04:38,"DOCTOR"
13,Rafaela,Raynor,1976-08-15 18:20:52,Nigeria,janyce.reynolds@hotmail.com,2016-03-04 12:26:11,2017-11-11 13:19:26,"PATIENT"
14,Tammara,Paucek,2001-06-08 15:53:49,Nepal,vonda.klein@yahoo.com,2019-03-20 10:27:50,2019-09-01 00:09:18,"PATIENT"
